iter	Passed	Remaining
291	892	2164
292	894	2157
293	895	2150
294	897	2144
295	898	2137
296	900	2130
297	901	2124
298	903	2118
299	905	2112
300	906	2106
301	908	2099
302	910	2093
303	911	2087
304	913	2081
305	914	2074
306	916	2068
307	920	2067
308	921	2061
309	923	2055
310	924	2049
311	926	2042
312	927	2036
313	929	2030
314	930	2024
315	932	2018
316	934	2013
317	936	2008
318	937	2002
319	939	1996
320	941	1990
321	942	1985
322	944	1979
323	946	1974
324	947	1968
325	950	1965
326	952	1960
327	954	1955
328	955	1949
329	957	1943
330	959	1938
331	960	1932
332	962	1927
333	964	1922
334	966	1918
335	968	1913
336	969	1907
337	971	1901
338	972	1896
339	973	1890
340	975	1885
341	977	1880
342	979	1875
343	982	1873
344	984	1869
345	986	1865
346	989	1862
347	991	1857
348	992	1851
349	996	1849
350	998	1845
351	999	1840
352	1001	1835
353	1002	1830
354	1004	1824
355	1006	1820
356	1007	1815
357	1009	1810
358	1012	1807
359	1014	1802
360	1015	1797
361	1017	1793
362	1019	1788
363	1031	1801
364	1033	1797
365	1035	1792
366	1036	1788
367	1038	1782
368	1039	1777
369	1041	1773
370	1043	1769
371	1045	1764
372	1046	1759
373	1048	1754
374	1050	1750
375	1051	1745
376	1053	1740
377	1054	1735
378	1057	1732
379	1059	1728
380	1061	1724
381	1062	1719
382	1064	1715
383	1066	1710
384	1067	1705
385	1069	1701
386	1071	1697
387	1073	1693
388	1075	1688
389	1076	1684
390	1078	1679
391	1080	1675
392	1081	1670
393	1083	1666
394	1084	1661
395	1087	1658
396	1089	1654
397	1090	1649
398	1092	1645
399	1094	1641
400	1095	1637
401	1097	1632
402	1098	1628
403	1100	1623
404	1103	1620
405	1105	1617
406	1106	1612
407	1109	1609
408	1110	1604
409	1112	1600
410	1114	1596
411	1117	1594
412	1119	1590
413	1120	1586
414	1122	1582
415	1124	1578
416	1125	1574
417	1127	1569
418	1129	1565
419	1130	1561
420	1133	1558
421	1135	1555
422	1137	1551
423	1139	1547
424	1141	1543
425	1143	1540
426	1144	1536
427	1147	1532
428	1149	1529
429	1151	1525
430	1152	1521
431	1154	1517
432	1155	1513
433	1157	1509
434	1159	1505
435	1160	1501
436	1162	1497
437	1164	1494
438	1166	1490
439	1168	1486
440	1169	1482
441	1171	1478
442	1172	1474
443	1174	1470
444	1175	1466
445	1177	1463
446	1180	1459
447	1181	1456
448	1183	1452
449	1185	1448
450	1186	1444
451	1188	1440
452	1189	1436
453	1191	1432
454	1195	1431
455	1197	1428
456	1199	1425
457	1201	1422
458	1203	1418
459	1205	1415
460	1208	1412
461	1211	1410
462	1212	1406
463	1214	1403
464	1216	1399
465	1218	1395
466	1219	1392
467	1222	1389
468	1224	1386
469	1226	1383
470	1228	1379
471	1229	1375
472	1231	1372
473	1233	1368
474	1234	1364
475	1236	1361
476	1238	1358
477	1240	1354
478	1242	1351
479	1244	1347
480	1245	1344
481	1247	1340
482	1248	1336
483	1250	1332
484	1252	1329
485	1254	1326
486	1256	1323
487	1257	1319
488	1259	1316
489	1261	1312
490	1262	1309
491	1264	1305
492	1265	1301
493	1267	1298
494	1269	1295
495	1271	1292
496	1273	1288
497	1276	1287
498	1278	1283
499	1280	1280
500	1281	1276
501	1283	1273
502	1285	1270
503	1287	1267
504	1290	1264
505	1292	1261
506	1294	1258
507	1295	1254
508	1297	1251
509	1299	1248
510	1301	1245
511	1303	1242
512	1305	1238
513	1306	1235
514	1308	1231
515	1309	1228
516	1311	1225
517	1313	1221
518	1321	1225
519	1323	1221
520	1325	1218
521	1327	1215
522	1329	1212
523	1334	1212
524	1337	1209
525	1338	1206
526	1340	1203
527	1342	1199
528	1343	1196
529	1345	1193
530	1347	1190
531	1350	1187
532	1351	1184
533	1353	1181
534	1354	1177
535	1356	1174
536	1358	1170
537	1359	1167
538	1362	1165
539	1364	1162
540	1366	1159
541	1368	1156
542	1370	1153
543	1371	1149
544	1372	1146
545	1374	1142
546	1376	1139
547	1378	1136
548	1380	1133
549	1381	1130
550	1383	1127
551	1384	1123
552	1386	1120
553	1387	1117
554	1389	1113
555	1391	1110
556	1393	1107
557	1395	1105
558	1396	1101
559	1398	1098
560	1399	1095
561	1401	1092
562	1402	1088
563	1404	1085
564	1405	1082
565	1407	1079
566	1409	1076
567	1411	1073
568	1413	1070
569	1415	1067
570	1416	1064
571	1418	1061
572	1419	1057
573	1421	1055
574	1423	1052
575	1425	1049
576	1427	1046
577	1428	1042
578	1430	1039
579	1431	1036
580	1433	1033
581	1434	1030
582	1436	1027
583	1438	1024
584	1441	1022
585	1442	1019
586	1444	1016
587	1445	1013
588	1447	1010
589	1448	1006
590	1450	1003
591	1452	1001
592	1454	998
593	1456	995
594	1457	992
595	1459	989
596	1460	985
597	1462	982
598	1463	979
599	1465	976
600	1467	974
601	1469	971
602	1470	968
603	1472	965
604	1473	962
605	1475	959
606	1476	956
607	1478	953
608	1479	950
609	1481	947
610	1483	944
611	1485	941
612	1486	938
613	1488	935
614	1489	932
615	1491	929
616	1492	926
617	1494	923
618	1495	920
619	1497	917
620	1499	915
621	1501	912
622	1502	909
623	1504	906
624	1505	903
625	1507	900
626	1509	897
627	1510	894
628	1512	892
629	1516	890
630	1518	887
631	1519	885
632	1521	882
633	1522	879
634	1524	876
635	1526	873
636	1527	870
637	1529	867
638	1531	865
639	1533	862
640	1534	859
641	1536	856
642	1537	853
643	1539	850
644	1540	848
645	1542	845
646	1543	842
647	1545	839
648	1547	836
649	1549	834
650	1550	831
651	1552	828
652	1553	825
653	1555	822
654	1556	819
655	1558	817
656	1560	814
657	1561	811
658	1563	809
659	1565	806
660	1566	803
661	1568	800
662	1569	798
663	1571	795
664	1572	792
665	1574	789
666	1576	787
667	1578	784
668	1579	781
669	1581	778
670	1582	776
671	1584	773
672	1585	770
673	1587	767
674	1589	765
675	1591	762
676	1593	760
677	1594	757
678	1596	754
679	1597	751
680	1599	749
681	1600	746
682	1602	743
683	1603	740
684	1605	738
685	1607	735
686	1609	733
687	1610	730
688	1612	727
689	1613	724
690	1615	722
691	1616	719
692	1618	716
693	1619	714
694	1621	711
695	1623	709
696	1625	706
697	1626	703
698	1628	701
699	1629	698
700	1631	695
701	1632	693
702	1634	690
703	1636	687
704	1638	685
705	1639	682
706	1641	680
707	1643	677
708	1644	675
709	1646	672
710	1647	669
711	1649	667
712	1650	664
713	1652	661
714	1654	659
715	1656	656
716	1657	654
717	1659	651
718	1660	648
719	1662	646
720	1663	643
721	1665	641
722	1667	638
723	1669	636
724	1670	633
725	1672	631
726	1673	628
727	1675	625
728	1676	623
729	1678	620
730	1679	618
731	1681	615
732	1683	613
733	1685	610
734	1686	608
735	1688	605
736	1689	603
737	1691	600
738	1693	597
739	1694	595
740	1696	592
741	1697	590
742	1699	587
743	1701	585
744	1703	582
745	1704	580
746	1706	577
747	1707	575
748	1709	572
749	1710	570
750	1713	567
751	1715	565
752	1716	563
753	1718	560
754	1719	558
755	1721	555
756	1722	553
757	1724	550
758	1725	548
759	1727	545
760	1729	543
761	1731	540
762	1732	538
763	1734	535
764	1735	533
765	1737	530
766	1738	528
767	1739	525
768	1741	523
769	1743	520
770	1745	518
771	1747	515
772	1748	513
773	1750	511
774	1751	508
775	1753	506
776	1755	503
777	1756	501
778	1760	499
779	1761	496
780	1763	494
781	1765	492
782	1766	489
783	1768	487
784	1770	484
785	1771	482
786	1773	479
787	1776	477
788	1777	475
789	1779	472
790	1781	470
791	1782	468
792	1784	465
793	1786	463
794	1788	461
795	1791	459
796	1792	456
797	1794	454
798	1795	451
799	1797	449
800	1798	446
801	1800	444
802	1802	442
803	1803	439
804	1805	437
805	1807	434
806	1808	432
807	1810	430
808	1811	427
809	1813	425
810	1814	422
811	1816	420
812	1818	418
813	1819	415
814	1821	413
815	1822	411
816	1824	408
817	1825	406
818	1827	403
819	1828	401
820	1830	399
821	1833	396
822	1834	394
823	1836	392
824	1837	389
825	1839	387
826	1841	385
827	1842	382
828	1844	380
829	1845	378
830	1847	375
831	1849	373
832	1850	371
833	1852	368
834	1853	366
835	1855	364
836	1857	361
837	1858	359
838	1860	357
839	1861	354
840	1863	352
841	1865	350
842	1867	347
843	1868	345
844	1870	343
845	1871	340
846	1873	338
847	1875	336
848	1877	333
849	1881	332
850	1883	329
851	1885	327
852	1886	325
853	1888	322
854	1889	320
855	1891	318
856	1892	315
857	1894	313
858	1896	311
859	1897	308
860	1899	306
861	1900	304
862	1902	302
863	1904	299
864	1906	297
865	1907	295
866	1909	292
867	1911	290
868	1912	288
869	1914	286
870	1915	283
871	1917	281
872	1918	279
873	1920	276
874	1921	274
875	1923	272
876	1925	270
877	1927	267
878	1928	265
879	1930	263
880	1931	260
881	1933	258
882	1934	256
883	1936	254
884	1937	251
885	1939	249
886	1941	247
887	1942	245
888	1944	242
889	1946	240
890	1947	238
891	1949	235
892	1950	233
893	1952	231
894	1953	229
895	1955	227
896	1957	224
897	1958	222
898	1960	220
899	1962	218
900	1963	215
901	1965	213
902	1966	211
903	1967	208
904	1969	206
905	1972	204
906	1973	202
907	1975	200
908	1976	197
909	1978	195
910	1979	193
911	1981	191
912	1983	188
913	1984	186
914	1986	184
915	1988	182
916	1989	180
917	1991	177
918	1992	175
919	1994	173
920	1995	171
921	1997	168
922	1998	166
923	2000	164
924	2002	162
925	2004	160
926	2005	157
927	2007	155
928	2009	153
929	2010	151
930	2012	149
931	2013	146
932	2015	144
933	2017	142
934	2019	140
935	2020	138
936	2022	135
937	2023	133
938	2025	131
939	2026	129
940	2028	127
941	2029	124
942	2031	122
943	2032	120
944	2034	118
945	2036	116
946	2037	114
947	2039	111
948	2040	109
949	2042	107
950	2043	105
951	2045	103
952	2046	100
953	2048	98
954	2050	96
955	2051	94
956	2053	92
957	2054	90
958	2056	87
959	2057	85
960	2059	83
961	2060	81
962	2062	79
963	2064	77
964	2066	74
965	2067	72
966	2069	70
967	2070	68
968	2072	66
969	2073	64
970	2075	61
971	2077	59
972	2079	57
973	2080	55
974	2082	53
975	2083	51
976	2085	49
977	2086	46
978	2088	44
979	2089	42
980	2091	40
981	2093	38
982	2095	36
983	2096	34
984	2098	31
985	2099	29
986	2101	27
987	2102	25
988	2104	23
989	2105	21
990	2107	19
991	2109	17
992	2110	14
993	2112	12
994	2114	10
995	2115	8
996	2116	6
997	2118	4
998	2120	2
999	2121	0
